1,0.0037706148298647336,the,was
2,0.0028863049805062874,the,and
3,0.0027307213588856553,the,is
4,0.002374938224150239,a,of
5,0.0023280343382204895,i,the
6,0.002270834477330551,the,of
7,0.0019939871506232496,i,t
8,0.0014757564109604084,the,i
9,0.001370508666922922,was,and
10,0.0013441967309135504,it,a
11,0.0013236047809931726,i,to
12,0.0013178847949041788,to,the
13,0.0013041568282905936,and,the
14,0.0011131092929181996,i,a
15,0.0010993813263046144,to,a
16,0.0010982373290868157,and,was
17,0.0010444694598502737,the,the
18,9.6438965460436E-4,the,were
19,9.403657130305859E-4,the,are
20,9.323577325059945E-4,my,and
21,9.220617575458057E-4,was,the
22,9.06045796496623E-4,of,and
23,8.625739022202698E-4,i,it
24,8.27109988468508E-4,this,is
25,8.053740413303315E-4,a,and
26,8.007980524591365E-4,i,not
27,7.813500997565574E-4,is,and
28,7.470301832225944E-4,to,it
29,7.207182472132227E-4,we,the
30,7.127102666886314E-4,and,i
31,7.012702945106438E-4,it,the
32,6.85254333461461E-4,the,to
33,6.829663390258635E-4,veri,and
34,6.452144308385042E-4,and,and
35,6.429264364029067E-4,and,to
36,6.394944447495103E-4,was,good
37,6.16614500393535E-4,as,as
38,6.005985393443523E-4,the,that
39,5.983105449087547E-4,and,a
40,5.925905588197609E-4,is,the
41,5.834385810773708E-4,one,the
42,5.788625922061758E-4,the,but
43,5.765745977705782E-4,was,but
44,5.742866033349807E-4,i,had
45,5.697106144637856E-4,was,to
46,5.62846631156993E-4,i,been
47,5.617026339391943E-4,there,a
48,5.605586367213955E-4,and,it
49,5.536946534146029E-4,was,i
50,5.525506561968041E-4,and,were
51,5.514066589790053E-4,the,for
52,5.445426756722128E-4,to,and
53,5.38822689583219E-4,i,in
54,5.365346951476214E-4,i,i
55,5.308147090586276E-4,t,to
56,5.273827174052313E-4,it,t
57,5.273827174052313E-4,but,was
58,5.159427452272437E-4,the,we
59,5.147987480094449E-4,a,to
60,5.113667563560485E-4,with,and
61,5.102227591382498E-4,we,to
62,5.010707813958596E-4,we,a
63,4.8505482034667694E-4,for,and
64,4.8162282869328063E-4,the,time
65,4.8162282869328063E-4,this,a
66,4.8047883147548184E-4,the,it
67,4.7704683982208553E-4,a,place
68,4.7018285651529297E-4,to,i
69,4.6560686764409787E-4,it,not
70,4.6446287042629914E-4,i,that
71,4.587428843373053E-4,this,the
72,4.4959090659491517E-4,i,have
73,4.4387092050592134E-4,they,a
74,4.4043892885252503E-4,our,was
75,4.370069371991287E-4,you,t
76,4.335749455457324E-4,to,for
77,4.335749455457324E-4,were,and
78,4.301429538923361E-4,t,the
79,4.289989566745374E-4,the,in
80,4.2671096223893985E-4,i,like
81,4.2671096223893985E-4,good,the
82,4.20990976149946E-4,i,this
83,4.1870298171434845E-4,to,to
84,4.175589844965497E-4,NUM,NUM
85,4.084070067541596E-4,a,i
86,4.072630095363608E-4,NUM,and
87,3.9582303735837313E-4,not,the
88,3.9582303735837313E-4,the,with
89,3.912470484871781E-4,of,the
90,3.8438306518038547E-4,on,menu
91,3.8209507074478795E-4,it,be
92,3.775190818735929E-4,to,this
93,3.740870902201966E-4,and,of
94,3.729430930023978E-4,out,the
95,3.729430930023978E-4,and,food
96,3.695111013490015E-4,to,in
97,3.67223106913404E-4,i,here
98,3.6493511247780646E-4,the,they
99,3.6493511247780646E-4,was,a
100,3.6493511247780646E-4,a,for
101,3.6035912360661137E-4,if,re
102,3.5807112917101385E-4,the,on
103,3.5807112917101385E-4,of,i
104,3.5807112917101385E-4,NUM,for
105,3.569271319532151E-4,i,ever
106,3.557831347354163E-4,for,i
107,3.557831347354163E-4,and,with
108,3.557831347354163E-4,you,a
109,3.5463913751761754E-4,we,t
110,3.534951402998188E-4,is,a
111,3.534951402998188E-4,you,to
112,3.4091117090403236E-4,and,s
113,3.3519118481503853E-4,but,s
114,3.3404718759723974E-4,be,to
115,3.3404718759723974E-4,it,like
116,3.32903190379441E-4,a,night
117,3.294711987260447E-4,i,my
118,3.294711987260447E-4,and,is
119,3.294711987260447E-4,a,time
120,3.283272015082459E-4,NUM,the
121,3.271832042904472E-4,to,back
122,3.2489520985484966E-4,i,go
123,3.2489520985484966E-4,for,the
124,3.226072154192521E-4,they,t
125,3.226072154192521E-4,to,out
126,3.226072154192521E-4,this,i
127,3.1803122654805704E-4,is,i
128,3.157432321124595E-4,the,thing
129,3.13455237676862E-4,in,and
130,3.123112404590632E-4,to,that
131,3.111672432412644E-4,are,and
132,3.111672432412644E-4,a,in
133,3.111672432412644E-4,that,the
134,3.100232460234657E-4,and,are
135,3.100232460234657E-4,they,have
136,3.065912543700694E-4,i,definit
137,3.054472571522706E-4,some,the
138,3.0430325993447186E-4,in,i
139,3.0430325993447186E-4,the,here
140,3.0430325993447186E-4,is,good
141,3.0430325993447186E-4,my,was
142,3.020152654988743E-4,place,a
143,3.0087126828107555E-4,good,i
144,3.0087126828107555E-4,a,the
145,2.9858327384547803E-4,the,which
146,2.9400728497428293E-4,for,NUM
147,2.928632877564842E-4,and,had
148,2.928632877564842E-4,i,never
149,2.917192905386854E-4,the,at
150,2.905752933208866E-4,and,servic
151,2.905752933208866E-4,it,to
152,2.8714330166749037E-4,all,the
153,2.859993044496916E-4,this,was
154,2.848553072318928E-4,to,my
155,2.825673127962953E-4,t,it
156,2.8027931836069775E-4,for,food
157,2.8027931836069775E-4,was,with
158,2.7913532114289897E-4,give,a
159,2.7913532114289897E-4,to,with
160,2.7913532114289897E-4,that,was
161,2.7913532114289897E-4,is,but
162,2.7799132392510023E-4,i,be
163,2.7684732670730144E-4,but,the
164,2.7684732670730144E-4,were,the
165,2.7570332948950266E-4,it,i
166,2.7570332948950266E-4,good,and
167,2.7341533505390514E-4,s,the
168,2.7341533505390514E-4,NUM,a
169,2.7341533505390514E-4,of,food
170,2.722713378361064E-4,also,the
171,2.711273406183076E-4,great,and
172,2.6998334340050883E-4,up,the
173,2.688393461827101E-4,the,burger
174,2.676953489649113E-4,it,just
175,2.665513517471126E-4,if,are
176,2.654073545293138E-4,and,for
177,2.654073545293138E-4,and,in
178,2.654073545293138E-4,if,want
179,2.64263357311515E-4,my,i
180,2.64263357311515E-4,were,to
181,2.64263357311515E-4,it,it
182,2.6311936009371626E-4,in,the
183,2.6311936009371626E-4,NUM,i
184,2.619753628759175E-4,we,in
185,2.619753628759175E-4,food,the
186,2.6083136565811874E-4,a,or
187,2.6083136565811874E-4,here,the
188,2.6083136565811874E-4,a,that
189,2.5968736844031996E-4,i,tri
190,2.5968736844031996E-4,so,i
191,2.5739937400472244E-4,and,have
192,2.5625537678692365E-4,place,the
193,2.5282338513352734E-4,the,NUM
194,2.516793879157286E-4,in,of
195,2.516793879157286E-4,i,for
196,2.482473962623323E-4,of,best
197,2.482473962623323E-4,my,had
198,2.459594018267348E-4,and,we
199,2.459594018267348E-4,a,on
200,2.44815404608936E-4,NUM,of
201,2.44815404608936E-4,you,in
202,2.44815404608936E-4,i,say
203,2.44815404608936E-4,so,and
204,2.4367140739113723E-4,in,area
205,2.4252741017333847E-4,was,of
206,2.4138341295553968E-4,s,a
207,2.4138341295553968E-4,was,littl
208,2.4138341295553968E-4,i,recommend
209,2.4023941573774092E-4,not,to
210,2.3909541851994216E-4,is,of
211,2.3909541851994216E-4,go,the
212,2.379514213021434E-4,to,our
213,2.379514213021434E-4,at,bar
214,2.3680742408434464E-4,realli,the
215,2.3680742408434464E-4,here,a
216,2.3680742408434464E-4,is,to
